Observation Name,High-gain pass DSS Sta. ,Ownr,Date,DOY,"Strt, UT", Dur,"End, UT",Pr'ty,Bits/ pixel,# imgs,Filters,Est.  comp.,Mbits,P/B (hrs @17.6 kb/s),week,Description,Status
Canopus Calibration 1  part 3,,MSI,13-May,133,5:30,0:20,5:50,,12,48,"0,7,6",2.5,29.76,0.5,99130,"MSI_Cancal_1c: 16 images slewing across 2 pixels with Canopus, repeat (filters 0,7,6; man exp)",done
,,,14-May,134,14:30,7:00,21:30,,,,,,,,,,
,,,17-May,137,14:30,7:00,21:30,,,,,,,,,,
,,,18-May,138,20:30,4:00,0:30,,,,,,,,,,
,,,19-May,139,13:30,7:00,20:30,,,,,,,,,,
,,,21-May,141,13:30,7:00,20:30,,,,,,,,,,
,,,24-May,144,13:20,7:00,20:20,,,,,,,,,,
,,,26-May,146,13:30,7:00,20:30,,,,,,,,,,
,,,28-May,148,13:30,7:00,20:30,,,,,,,,,,
,,,28-May,149,0:25,4:00,4:25,,,,,,,,,,
,,,31-May,151,13:30,7:00,20:30,,,,,,,,,,
,,,01-Jun,153,12:10,7:00,19:10,,,,,,,,,,
Canopus Calibration 2  part 1,,MSI,03-Jun,154,5:30,0:20,5:50,,12,64,"1,3,4,6",2.5,39.68,0.7,99151,"MSI_Cancal_2a: 16 images slewing across 2 pixels with Canopus, repeat (filters 1,3,4,6; man exp)",done
,,,03-Jun,154,20:35,4:00,0:35,,,,,,,,,,
,,,04-Jun,155,13:30,7:00,20:30,,,,,,,,,,
,,,07-Jun,158,13:30,7:00,20:30,,,,,,,,,,
,,,08-Jun,159,22:20,4:00,2:20,,,,,,,,,,
,,,09-Jun,160,13:30,7:00,20:30,,,,,,,,,,
,,,11-Jun,162,13:30,7:00,20:30,,,,,,,,,,
,,,14-Jun,165,12:30,6:30,19:00,,,,,,,,,,
,,,15-Jun,166,12:20,4:25,16:45,,,,,,,,,,
Star Cluster Calibration 3,,MSI,15-Jun,166,1:00,0:20,1:20,,12,5,0,2.5,3.10,0.1,99165,MSI_Starcal_3: 2x2 and 1x1 centered star cluster (filter 0; 999 msec),done
Canopus Calibration 2  part 2,,MSI,15-Jun,166,2:00,0:20,2:20,,12,128,0-7,2.5,79.35,1.4,99165,"MSI_Cancal_2b: 16 images slewing across 2 pixels with Canopus, repeat (filters 0-7; man exp)",done
Multispectral Light Curve C1,,MSI,15-Jun,166,3:00,5:58,8:58,,12,123,0,4,47.66,0.8,99165,MSI_MSLtCv_C1:3 filters every 5 deg of rotation for 1.1 Eros rot.  Man exp 999 ms.,done
,,,15-Jun,166,0:15,4:00,4:15,,,,,,,,,,
